day,time,tidal_range
13-Oct-20,6:59:59,-0.1746
13-Oct-20,7:59:59,-0.0031
13-Oct-20,8:59:59,0.1814
13-Oct-20,9:59:59,0.3306
13-Oct-20,10:59:59,0.4036
13-Oct-20,11:59:59,0.3791
13-Oct-20,12:59:59,0.2624
13-Oct-20,13:59:59,0.0831
13-Oct-20,14:59:59,-0.1149
13-Oct-20,15:59:59,-0.285
13-Oct-20,16:59:59,-0.3879
13-Oct-20,17:59:59,-0.3995
13-Oct-20,18:59:59,-0.3154
13-Oct-20,19:59:59,-0.1542
13-Oct-20,20:59:59,0.0448
13-Oct-20,21:59:59,0.2297
13-Oct-20,22:59:59,0.3503
13-Oct-20,23:59:59,0.3731
14-Oct-20,0:59:59,0.2923
14-Oct-20,1:59:59,0.1305
14-Oct-20,2:59:59,-0.0688
14-Oct-20,3:59:59,-0.254
14-Oct-20,4:59:59,-0.3784
14-Oct-20,5:59:59,-0.4094
14-Oct-20,6:59:59,-0.3357
14-Oct-20,7:59:59,-0.1704
14-Oct-20,8:59:59,0.0493
14-Oct-20,9:59:59,0.269
14-Oct-20,10:59:59,0.4308
14-Oct-20,11:59:59,0.49
14-Oct-20,12:59:59,0.4289
14-Oct-20,13:59:59,0.2626
14-Oct-20,14:59:59,0.0331
14-Oct-20,15:59:59,-0.203
14-Oct-20,16:59:59,-0.3894
14-Oct-20,17:59:59,-0.4828
14-Oct-20,18:59:59,-0.4609
14-Oct-20,19:59:59,-0.328
14-Oct-20,20:59:59,-0.1155
14-Oct-20,21:59:59,0.1235
14-Oct-20,22:59:59,0.3265
14-Oct-20,23:59:59,0.4383
15-Oct-20,0:59:59,0.4286
15-Oct-20,1:59:59,0.3007
15-Oct-20,2:59:59,0.0901
15-Oct-20,3:59:59,-0.1467
15-Oct-20,4:59:59,-0.3486
15-Oct-20,5:59:59,-0.4642
15-Oct-20,6:59:59,-0.4629
15-Oct-20,7:59:59,-0.3416
15-Oct-20,8:59:59,-0.1258
15-Oct-20,9:59:59,0.1334
15-Oct-20,10:59:59,0.3706
15-Oct-20,11:59:59,0.5227
15-Oct-20,12:59:59,0.5474
15-Oct-20,13:59:59,0.4365
15-Oct-20,14:59:59,0.2181
15-Oct-20,15:59:59,-0.0522
15-Oct-20,16:59:59,-0.3076
15-Oct-20,17:59:59,-0.487
15-Oct-20,18:59:59,-0.5487
15-Oct-20,19:59:59,-0.4786
15-Oct-20,20:59:59,-0.2932
15-Oct-20,21:59:59,-0.0376
15-Oct-20,22:59:59,0.2233
15-Oct-20,23:59:59,0.4211
16-Oct-20,0:59:59,0.5023
16-Oct-20,1:59:59,0.4452
16-Oct-20,2:59:59,0.2663
16-Oct-20,3:59:59,0.0149
16-Oct-20,4:59:59,-0.2422
16-Oct-20,5:59:59,-0.4386
16-Oct-20,6:59:59,-0.5247
16-Oct-20,7:59:59,-0.4775
16-Oct-20,8:59:59,-0.3056
16-Oct-20,9:59:59,-0.0484
16-Oct-20,10:59:59,0.2318
16-Oct-20,11:59:59,0.4632
16-Oct-20,12:59:59,0.5839
16-Oct-20,13:59:59,0.5602
16-Oct-20,14:59:59,0.3968
16-Oct-20,15:59:59,0.136
16-Oct-20,16:59:59,-0.1556
16-Oct-20,17:59:59,-0.4059
16-Oct-20,18:59:59,-0.5554
16-Oct-20,19:59:59,-0.5699
16-Oct-20,20:59:59,-0.4472
16-Oct-20,21:59:59,-0.2173
16-Oct-20,22:59:59,0.0629
16-Oct-20,23:59:59,0.3221
17-Oct-20,0:59:59,0.492
17-Oct-20,1:59:59,0.527
17-Oct-20,2:59:59,0.4183
17-Oct-20,3:59:59,0.1964
17-Oct-20,4:59:59,-0.0782
17-Oct-20,5:59:59,-0.3328
17-Oct-20,6:59:59,-0.5024
17-Oct-20,7:59:59,-0.5446
17-Oct-20,8:59:59,-0.4483
17-Oct-20,9:59:59,-0.235
17-Oct-20,10:59:59,0.0448
17-Oct-20,11:59:59,0.3219
17-Oct-20,12:59:59,0.5249
17-Oct-20,13:59:59,0.5992
17-Oct-20,14:59:59,0.5235
17-Oct-20,15:59:59,0.317
17-Oct-20,16:59:59,0.0335
17-Oct-20,17:59:59,-0.2545
17-Oct-20,18:59:59,-0.476
17-Oct-20,19:59:59,-0.5792
17-Oct-20,20:59:59,-0.5415
17-Oct-20,21:59:59,-0.3738
17-Oct-20,22:59:59,-0.1176
17-Oct-20,23:59:59,0.1636
18-Oct-20,0:59:59,0.398
18-Oct-20,1:59:59,0.5239
18-Oct-20,2:59:59,0.5078
18-Oct-20,3:59:59,0.3549
18-Oct-20,4:59:59,0.1077
18-Oct-20,5:59:59,-0.1669
18-Oct-20,6:59:59,-0.397
18-Oct-20,7:59:59,-0.5248
18-Oct-20,8:59:59,-0.5195
18-Oct-20,9:59:59,-0.3825
18-Oct-20,10:59:59,-0.1465
18-Oct-20,11:59:59,0.1316
18-Oct-20,12:59:59,0.3825
18-Oct-20,13:59:59,0.5411
18-Oct-20,14:59:59,0.5645
18-Oct-20,15:59:59,0.4452
18-Oct-20,16:59:59,0.2145
18-Oct-20,17:59:59,-0.067
18-Oct-20,18:59:59,-0.3274
18-Oct-20,19:59:59,-0.5032
18-Oct-20,20:59:59,-0.5542
18-Oct-20,21:59:59,-0.4711
18-Oct-20,22:59:59,-0.2758
18-Oct-20,23:59:59,-0.0165
19-Oct-20,0:59:59,0.2427
19-Oct-20,1:59:59,0.4357
19-Oct-20,2:59:59,0.512
19-Oct-20,3:59:59,0.4516
19-Oct-20,4:59:59,0.2718
19-Oct-20,5:59:59,0.0222
19-Oct-20,6:59:59,-0.23
19-Oct-20,7:59:59,-0.42
19-Oct-20,8:59:59,-0.5015
19-Oct-20,9:59:59,-0.4563
19-Oct-20,10:59:59,-0.2969
19-Oct-20,11:59:59,-0.0618
19-Oct-20,12:59:59,0.1916
19-Oct-20,13:59:59,0.3997
19-Oct-20,14:59:59,0.5084
19-Oct-20,15:59:59,0.4879
19-Oct-20,16:59:59,0.3429
19-Oct-20,17:59:59,0.112
19-Oct-20,18:59:59,-0.1439
19-Oct-20,19:59:59,-0.3596
19-Oct-20,20:59:59,-0.4834
19-Oct-20,21:59:59,-0.4883
19-Oct-20,22:59:59,-0.3764
19-Oct-20,23:59:59,-0.176
20-Oct-20,0:59:59,0.0639
20-Oct-20,1:59:59,0.2846
20-Oct-20,2:59:59,0.4302
20-Oct-20,3:59:59,0.463
20-Oct-20,4:59:59,0.3748
20-Oct-20,5:59:59,0.1904
20-Oct-20,6:59:59,-0.0394
20-Oct-20,7:59:59,-0.2535
20-Oct-20,8:59:59,-0.3983
20-Oct-20,9:59:59,-0.4402
20-Oct-20,10:59:59,-0.3722
20-Oct-20,11:59:59,-0.2129
20-Oct-20,12:59:59,-0.0012
20-Oct-20,13:59:59,0.211
20-Oct-20,14:59:59,0.3706
20-Oct-20,15:59:59,0.4356
20-Oct-20,16:59:59,0.3878
20-Oct-20,17:59:59,0.2398
20-Oct-20,18:59:59,0.0313
20-Oct-20,19:59:59,-0.1823
20-Oct-20,20:59:59,-0.3472
20-Oct-20,21:59:59,-0.4246
20-Oct-20,22:59:59,-0.3994
20-Oct-20,23:59:59,-0.2803
21-Oct-20,0:59:59,-0.0966
21-Oct-20,1:59:59,0.1081
21-Oct-20,2:59:59,0.2843
21-Oct-20,3:59:59,0.3882
21-Oct-20,4:59:59,0.393
21-Oct-20,5:59:59,0.2983
21-Oct-20,6:59:59,0.1308
21-Oct-20,7:59:59,-0.0636
21-Oct-20,8:59:59,-0.2342
21-Oct-20,9:59:59,-0.3398
21-Oct-20,10:59:59,-0.3581
21-Oct-20,11:59:59,-0.2889
21-Oct-20,12:59:59,-0.151
21-Oct-20,13:59:59,0.0218
21-Oct-20,14:59:59,0.1875
21-Oct-20,15:59:59,0.3043
21-Oct-20,16:59:59,0.3412
21-Oct-20,17:59:59,0.2876
21-Oct-20,18:59:59,0.1579
21-Oct-20,19:59:59,-0.0125
21-Oct-20,20:59:59,-0.1782
21-Oct-20,21:59:59,-0.2978
21-Oct-20,22:59:59,-0.3444
21-Oct-20,23:59:59,-0.31
22-Oct-20,0:59:59,-0.2045
22-Oct-20,1:59:59,-0.0526
